brand,model,year,price,mileage,fuel,location,color,source,crawl_date
Peugeot,Allure,2025,1039000000,6000,Xăng,Hà Nội,Trắng,bonbanh,2025-12-30
Hyundai,Stargazer X,2025,497000000,0,Xăng,TP.HCM,Trắng,bonbanh,2025-12-30
Vinfast,VF8 Eco,2023,565000000,35000,Điện,Hà Nội,Trắng,bonbanh,2025-12-30
Ford,Everest Titanium,2022,1135000000,50000,Điện,Hà Nội,Đen,bonbanh,2025-12-30
Vinfast,VF8 Plus,2023,725000000,2,Điện,Hà Nội,Trắng,bonbanh,2025-12-30
Vinfast,VF8 Eco,2023,600000000,30000,Điện,Hà Nội,Đen,bonbanh,2025-12-30
Vinfast,VF8 Plus,2023,725000000,28000,Điện,Hà Nội,Đen,bonbanh,2025-12-30
Kia,Cerato 2.0,2016,368000000,76000,Xăng,Hà Nội,Trắng,bonbanh,2025-12-30
Mercedes,Benz G,2021,7999000000,50000,Xăng,Hà Nội,Đen,bonbanh,2025-12-30
Lexus,LM 500h,2025,8950000000,0,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-30
Vinfast,VF3 Plus,2025,269000000,0,Điện,Hà Nội,Xám,bonbanh,2025-12-30
Toyota,Land Cruiser,2024,5490000000,30000,Xăng,Hà Nội,Trắng,bonbanh,2025-12-30
Ford,Transit Limousine,2025,1368000000,0,Dầu,TP.HCM,Trắng,bonbanh,2025-12-30
Porsche,Panamera 4,2023,6478000000,13333,Xăng,TP.HCM,Trắng,bonbanh,2025-12-30
Vinfast,VF9 Plus,2025,1481000000,0,Điện,TP.HCM,Xám,bonbanh,2025-12-30
Ford,Transit Trend,2025,857000000,0,Dầu,TP.HCM,Trắng,bonbanh,2025-12-30
Toyota,IQ 1.0,2009,459000000,32000,Xăng,TP.HCM,Trắng,bonbanh,2025-12-30
Volvo,XC60 Ultra,2025,2168000000,0,Hybrid,TP.HCM,Trắng,bonbanh,2025-12-30
Lexus,NX 350,2023,2799000000,37000,Xăng,TP.HCM,Trắng,bonbanh,2025-12-30
Ford,Territory Titanium,2025,871000000,0,Xăng,TP.HCM,Bạc,bonbanh,2025-12-30
Kia,K5 Luxury,2022,665000000,37000,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-30
Mercedes,Benz GLC,2023,2259000000,27358,Xăng,Hà Nội,Trắng,bonbanh,2025-12-30
Toyota,Camry 2.5Q,2013,450000000,130000,Xăng,Hà Nội,Vàng,bonbanh,2025-12-30
Honda,CRV L,2019,745000000,90000,Xăng,Hà Nội,Đỏ,bonbanh,2025-12-30
Hyundai,Stargazer Tiêu,2024,452000000,23000,Xăng,Hà Nội,Trắng,bonbanh,2025-12-30
Mercedes,Benz G,2022,9968000000,33000,Xăng,TP.HCM,Cam,bonbanh,2025-12-30
Honda,CRV L,2018,705000000,88000,Xăng,Hà Nội,Đen,bonbanh,2025-12-30
Lexus,RX 300,2021,2850000000,70000,Xăng,Hà Nội,Đen,bonbanh,2025-12-30
Lexus,LM 500h,2025,8950000000,0,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-30
Mercedes,Benz G,2022,9578000000,5555,Xăng,TP.HCM,Đen,bonbanh,2025-12-30
Ford,Ranger XLS,2025,605000000,0,Dầu,Hà Nội,Trắng,bonbanh,2025-12-30
