title,url,price_raw,info_raw,source,crawl_date
  Xe cũ 2021   Hyundai SantaFe Cao cấp 2.2L HTRAC ,https://bonbanh.com/oto,919 Triệu,"Xe cũ | 2021 | Hyundai SantaFe Cao cấp 2.2L HTRAC - 2021 | 919 Triệu | Hà Nội | Mã: 6561694 | *Xe lắp ráp trong nước, màu đen, máy dầu 2.2 L, số tự động, 7 chỗ , đã đi 90,000 km ... | Hyundai Santafe 2.2D Htrac Premium 2021 Động cơ dầu bản cao cấp Odo: 9 vạn km 1 chủ từ đầu Bảo hành bảo hưỡng full lịch sử hãng, dàn lốp theo xe Cam kết chất lượng văn bản | Liên hệ: | Phú Hưng Auto | i01 - L01 An Phú Shop Villa, KĐT Dương Nội, phường Dương Nội, ... Hà Nội | ĐT: 0901 999 862",bonbanh,2025-12-26
  Xe cũ 2013   Toyota Innova 2.0E - 2013  275 Triệ,https://bonbanh.com/oto,275 Triệu,"Xe cũ | 2013 | Toyota Innova 2.0E - 2013 | 275 Triệu | TP HCM | Mã: 6492278 | *Xe lắp ráp trong nước, màu bạc, máy xăng 2.0 L, số tay, 8 chỗ ... | Toyota Innova 2013 8 chỗ bền bỉ số sàn 2.0 nội thất đẹp. máy êm ái ,gầm bệ chắc chắn bảo hành máy dài hạn,bao rút hồ sơ gốc ========================= UY TÍN TẠO NÊN ... | Liên hệ: | Phúc Việt Auto | 282/7 Lê Thị Riêng, P. Thới An, Quận 12 TP HCM | ĐT: 0979 777 893",bonbanh,2025-12-26
  Xe cũ 2021   Mitsubishi Xpander 1.5 MT - 2021  4,https://bonbanh.com/oto,440 Triệu,"Xe cũ | 2021 | Mitsubishi Xpander 1.5 MT - 2021 | 440 Triệu | Lâm Đồng | Mã: 6471068 | *Xe nhập khẩu, màu bạc, máy xăng 1.5 L, số tay, 7 chỗ ... | [VỪA CẬP BẾN] Mitsubishi Xpander 2021 MT Thông tin chi tiết: Máy: Xăng 1.5 Hộp số: Số Sàn Năm Sản Xuất : 2021 Mô tả: Xe đã được trang bị màn hình và camera đầy ... | Liên hệ: | Auto Thanh Tùng | QL20 Phú Hội, Đức Trọng Lâm Đồng | ĐT: 0366 557 020 - 0355 553 379",bonbanh,2025-12-26
  Xe cũ 2020   Mazda 3 1.5L Luxury - 2020  525 Tri,https://bonbanh.com/oto,525 Triệu,"Xe cũ | 2020 | Mazda 3 1.5L Luxury - 2020 | 525 Triệu | Hải Phòng | Mã: 6354767 | *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.5 L, số tự động, 5 chỗ , đã đi 54,000 km ... | #Auto_Đất_Cảng Chào bán MAZDA3 - Luxuty Năm sx: 2020 màu Đỏ ODO : 5,4 vạn km Biển Tỉnh, chủ cực kỳ giữ gìn xe , Xe đẹp xuất sắc k lỗi nhỏ, đăng kiểm dài Cam ... | Liên hệ: | Auto Đất Cảng | Số 1051 Đường Nguyễn Văn Linh, H. An Dương Hải Phòng | ĐT: 0934 373 666",bonbanh,2025-12-26
  Xe mới 2025   Toyota Veloz Cross Top 1.5 CVT - 2,https://bonbanh.com/oto,580 Triệu,"Xe mới | 2025 | Toyota Veloz Cross Top 1.5 CVT - 2025 | 580 Triệu | Phú Thọ | Mã: 6068717 | *Xe lắp ráp trong nước, màu đen, máy xăng 1.5 L, số tự động, 7 chỗ ... | Toyota Veloz Cross Top 1.5 CVT *** Thông tin sản phẩm: - Đèn pha full LED, tự động bật tắt. - Động cơ 1.5L - Đèn hậu LED - Ghế da pha nỉ - Chìa khóa thông minh, khởi động nút ... | Liên hệ: | Toyota Phú Thọ | 286 Nguyễn Tất Thành, Thanh Miếu Phú Thọ | ĐT: 0972 008 633 - 0773 115 555",bonbanh,2025-12-26
  Xe cũ 2016   Hyundai Tucson 2.0 ATH - 2016  510 ,https://bonbanh.com/oto,510 Triệu,"Xe cũ | 2016 | Hyundai Tucson 2.0 ATH - 2016 | 510 Triệu | Hà Nội | Mã: 6590019 | *Xe nhập khẩu, màu đen, máy xăng 2.0 L, số tự động, 5 chỗ , đã đi 120,000 km ... | Tucson 2016 nhập khẩu odo 12 vạn zin Quý khách vui lòng liên hệ xem xe để biết thêm thông tin chi tiết! | Liên hệ: | Nguyễn Hồng Đại | Cầu Giấy Hà Nội | ĐT: 0929 568 686",bonbanh,2025-12-26
  Xe mới 2025   Honda City L 1.5 AT - 2025  475 Tr,https://bonbanh.com/oto,475 Triệu,"Xe mới | 2025 | Honda City L 1.5 AT - 2025 | 475 Triệu | Hà Nội | Mã: 6515098 | *Xe lắp ráp trong nước, màu đen, máy xăng 1.5 L, số tự động, 5 chỗ ... | Honda City L 2025, trang bị: - Gương chiếu hậu chỉnh điện, gập điện tích hợp đèn báo rẽ LED - Ghế lái chỉnh 6 hướng - Bệ trung tâm tích hợp khay đựng cốc, ngăn chứa ... | Liên hệ: | Honda Ô Tô Mỹ Đình | Số 2 Lê Đức Thọ, P.Mai Dịch, Cầu Giấy Hà Nội | ĐT: 0989 538 183",bonbanh,2025-12-26
  Xe cũ 2015   Bentley Mulsanne Speed - 2015  6 Tỷ,https://bonbanh.com/oto,6 Tỷ 800 Triệu,"Xe cũ | 2015 | Bentley Mulsanne Speed - 2015 | 6 Tỷ 800 Triệu | Hà Nội | Mã: 6382928 | *Xe nhập khẩu, màu xanh, máy xăng 6.8 L, số tự động, 5 chỗ , đã đi 43,000 km ... | Bentley mulsanne speed Sx 2015 xanh lục bảo thượng lưu chạy 43 ngàn nt 2 màu speed, mâm masory mặt galang full đen Xin vui lòng liên hệ trực tiếp | Liên hệ: | Vũ Trọng | Hà Nội Hà Nội | ĐT: 0906 983 388",bonbanh,2025-12-26
  Xe cũ 2022   Kia Carnival Luxury 2.2D - 2022  98,https://bonbanh.com/oto,985 Triệu,"Xe cũ | 2022 | Kia Carnival Luxury 2.2D - 2022 | 985 Triệu | Hà Nội | Mã: 6545537 | *Xe lắp ráp trong nước, màu xanh, máy dầu 2.2 L, số tự động, 8 chỗ , đã đi 78,000 km ... | ⸻ KIA Carnival Luxury 2.2D – 2022 Màu xanh – Nội thất nâu da bò cực sang Bản 8 ghế đã lên 7 ghế Odo 7v8 km chuẩn – xe đẹp, giữ gìn Hồ sơ cầm tay, sang tên nhanh ... | Liên hệ: | Ô Tô Thủ Đô | Số 99 Hồng Đô - Phú Đô - Nam Từ Liêm Hà Nội | ĐT: 0888 591 111",bonbanh,2025-12-26
  Xe cũ 2025   BMW X7 xDrive40i - 2025  4 Tỷ 550 T,https://bonbanh.com/oto,4 Tỷ 550 Triệu,"Xe cũ | 2025 | BMW X7 xDrive40i - 2025 | 4 Tỷ 550 Triệu | TP HCM | Mã: 6538924 | *Xe nhập khẩu, màu đen, xe hybrid 3.0 L, số tự động, 7 chỗ ... | Salon ô tô Siu Hùng xin giới thiệu đến quý khách hàng: BMW X7 Pure Excellence 2025 là một mẫu SUV hạng sang cỡ lớn với 7 chỗ, mang đến không gian rộng rãi và sang trọng cho cả ... | Liên hệ: | Salon Ô tô Siu Hùng | 19 Bis Cộng Hòa, P12 ( Bảy Hiền ), Q. Tân Bình TP HCM | ĐT: 0903 199 921",bonbanh,2025-12-26
