title,url,price_raw,info_raw,source,crawl_date
  Xe cũ 2019   Mercedes Benz C class C200 Exclusiv,https://bonbanh.com/oto,860 Triệu,"Xe cũ | 2019 | Mercedes Benz C class C200 Exclusive - 2019 | 860 Triệu | Hà Nội | Mã: 6580993 | *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, 5 chỗ , đã đi 79,000 km ... | Mercedes Benz C200 Exclusive Sản xuất 2019 màu trắng nội đen Odo 7,9v km full lịch sử hãng Cam kết xe máy móc zin nguyên bản, ko otai nạn, ngập nước, check hãng toàn quốc ... | Liên hệ: | Thái Mẹc | 21 Phú Hựu - Long Biên Hà Nội | ĐT: 0928 299 999",bonbanh,2025-12-22
  Xe cũ 2022   Honda HRV RS - 2022  719 Triệu   Hả,https://bonbanh.com/oto,719 Triệu,"Xe cũ | 2022 | Honda HRV RS - 2022 | 719 Triệu | Hải Phòng | Mã: 6441238 | *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động, 5 chỗ , đã đi 52,000 km ... | Bán HRV RS sx 2022 nhập khẩu 1.5 turbo tiết kiệm nhiên liệu. Phiên bản cao cấp nhất với: hệ thống 8 loa, Cam Lanewatch, App Connect, vô lăng biến thiên theo tốc độ, ghế lái chỉnh ... | Liên hệ: | Thế Giới Xe HP | Số 3 Lô 11A Lê Hồng Phong, Hải An, Hải Phòng Hải Phòng | ĐT: 0974 420 286 - 02129 999 999",bonbanh,2025-12-22
  Xe cũ 2023   Audi Q7 45 TFSI Quattro - 2023  2 T,https://bonbanh.com/oto,2 Tỷ 879 Triệu,"Xe cũ | 2023 | Audi Q7 45 TFSI Quattro - 2023 | 2 Tỷ 879 Triệu | Hà Nội | Mã: 6528060 | *Xe nhập khẩu, màu đen, máy xăng 2.0 L, số tự động, 7 chỗ , đã đi 32,186 km ... | Nhập Team Nguyên Xe Mộc Audi Q7 45 TFSI Quattro 2.0 sản xuất 2023 xe chạy 2 vạn miles xe đẹp không lỗi nhỏ Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả ... | Liên hệ: | Trương Văn Phong | Số 2 Hạ Yên Quyết - Cầu Giấy Hà Nội | ĐT: 0826 997 666",bonbanh,2025-12-22
  Xe cũ 2022   Volkswagen Teramont Limited Edition,https://bonbanh.com/oto,1 Tỷ 679 Triệu,"Xe cũ | 2022 | Volkswagen Teramont Limited Edition 2.0 AT - 2022 | 1 Tỷ 679 Triệu | TP HCM | Mã: 6526496 | *Xe nhập khẩu, màu đen, máy xăng 2.0 L, số tự động, 7 chỗ , đã đi 16,000 km ... | Volkswagen Teramont - Công ty xuất hoá đơn cao - Sx 2022 nhập Mỹ - Suv full size 7 ghế - Odo 16,000 km - Màu Đen / nội thất Đen - Lịch sử bảo dưỡng hãng đầy đủ. - Động cơ ... | Liên hệ: | Salon Auto Xuyên Á | 720 Trường Chinh, P.15, Q.Tân Bình TP HCM | ĐT: 0903 347 606",bonbanh,2025-12-22
  Xe cũ 2024   BMW X5 xDrive40i M Sport - 2024  3 ,https://bonbanh.com/oto,3 Tỷ 800 Triệu,"Xe cũ | 2024 | BMW X5 xDrive40i M Sport - 2024 | 3 Tỷ 800 Triệu | Hà Nội | Mã: 6465145 | *Xe lắp ráp trong nước, màu đen, máy xăng 3.0 L, số tự động, 5 chỗ , đã đi 1,500 km ... | BMW X5 - 2024 - Odo: 1.500Km + Hệ thống đèn pha Matrix LED ma trận thông minh tự điều chỉnh pha sáng thích ứng với mặt đường. Đồng thời tạo ra chùm sáng có cường độ cao như ... | Liên hệ: | Hoàng Huy | Trương Công Giai, Dịch Vọng Hậu, Cầu Giấy, Hà Nội Hà Nội | ĐT: 0921 648 886",bonbanh,2025-12-22
  Xe cũ 2021   Mitsubishi Xpander 1.5 AT - 2021  4,https://bonbanh.com/oto,475 Triệu,"Xe cũ | 2021 | Mitsubishi Xpander 1.5 AT - 2021 | 475 Triệu | Hà Nội | Mã: 6558683 | *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động, 7 chỗ , đã đi 65,000 km ... | Chào bán !!!! Mitshubishi Xpander2021 số tự động. Đẹp xuất sắc -Xe tư nhân 1 chủ từ mới -Odo :6,5 vạn. Máy số keo chỉ zin -Bao check tet thoải mái -Hỗ trợ vay ... | Liên hệ: | Green Auto | Trụ cầu T50 linh đàm. Yên sở ,Hà nội Hà Nội | ĐT: 0964 666 566",bonbanh,2025-12-22
  Xe cũ 2016   Mercedes Benz GLC 250 4Matic - 2016,https://bonbanh.com/oto,769 Triệu,"Xe cũ | 2016 | Mercedes Benz GLC 250 4Matic - 2016 | 769 Triệu | Hà Nội | Mã: 6582399 | *Xe lắp ráp trong nước, màu trắng, máy xăng 2.0 L, số tự động, 5 chỗ , đã đi 100,000 km ... | Mercedes GLC250 2016 model 2017 , tư nhân chính chủ , odo 10v km , lên full body GLC63 cực đẹp , màn android , điều hoà tua bin , mâm thể thao , ... - Xe cam kết không đâm đụng, không ... | Liên hệ: | Boss Car | 68 Lê Văn Lương Hà Nội | ĐT: 0983 153 398",bonbanh,2025-12-22
  Xe cũ 2024   Toyota Land Cruiser 3.5 V6 - 2024  ,https://bonbanh.com/oto,5 Tỷ 580 Triệu,"Xe cũ | 2024 | Toyota Land Cruiser 3.5 V6 - 2024 | 5 Tỷ 580 Triệu | Hà Nội | Mã: 6548043 | *Xe nhập khẩu, màu nâu, máy xăng 3.4 L, số tự động, 7 chỗ , đã đi 30,000 km ... | Xe Landcruiser 3.5V6 tên công ty xuất được hoá đơn 1 chủ sử dụng từ đâu, xe dàn lốp theo xe sơ cua chưa hạ sơn zin cả xe, tất cả còn nguyên bản theo xe như xe mới. Xe đã trang ... | Liên hệ: | Toyota Sure Pháp Vân | Ngã ba Pháp Vân, Phường Hoàng Liệt, Quận Hoàng Mai Hà Nội | ĐT: 0941 885 555 - 0961 967 777",bonbanh,2025-12-22
  Xe mới 2025   Mitsubishi Destinator Ultimate - 2,https://bonbanh.com/oto,808 Triệu,"Xe mới | 2025 | Mitsubishi Destinator Ultimate - 2025 | 808 Triệu | Hà Nội | Mã: 6552756 | *Xe nhập khẩu, màu đỏ, máy xăng 1.5 L, số tự động, 7 chỗ ... | All new Mitsubishi Destinator khởi sự vạn điểm đến -7 chỗ chuẩn Suv cho gia đình - Động cơ mới: 4B40-Turbo 1.5 mivec - Kích thước: 4.680x1.840x1.780 - Công suất: 163/5000ps; Momen ... | Liên hệ: | Mitsubishi An Dân | Số 1 Nguyễn Văn Linh , Long Biên Hà Nội | ĐT: 0938 821 311",bonbanh,2025-12-22
  Xe cũ 2013   Bentley Flying Spur W12 - 2013  3 T,https://bonbanh.com/oto,3 Tỷ 500 Triệu,"Xe cũ | 2013 | Bentley Flying Spur W12 - 2013 | 3 Tỷ 500 Triệu | Hà Nội | Mã: 6515642 | *Xe nhập khẩu, màu trắng, máy xăng 6.0 L, số tự động, 5 chỗ , đã đi 46,000 km ... | Đây là mẫu sedan siêu sang với thương hiệu rất mạnh, cabin cực kỳ sang trọng: nhiều lựa chọn gỗ, da, hoàn thiện thủ công — phù hợp với vị thế đẳng cấp. • Động ... | Liên hệ: | Mr Điệp | 98 Nguyễn Chí Thanh Hà Nội | ĐT: 0983 222 223",bonbanh,2025-12-22
  Xe mới 2025   Isuzu MU-X B7 Plus 1.9 4X2 AT - 20,https://bonbanh.com/oto,930 Triệu,"Xe mới | 2025 | Isuzu MU-X B7 Plus 1.9 4X2 AT - 2025 | 930 Triệu | Hà Nội | Mã: 6449413 | *Xe nhập khẩu, màu đen, máy dầu 1.9 L, số tự động, 7 chỗ ... | Isuzu Mux B7 PLUS AT phiên bản 1 cầu số tự động là một trong hai phiên bản trong phân khúc 7 chỗ của Isuzu đem lại sự mạnh mẽ , tinh tế và độ tin cậy và hiệu suất vượt ... | Liên hệ: | Isuzu An Việt | Km 12 + 300, Quốc Lộ 1A, Xã Thanh Trì, Hà Nội Hà Nội | ĐT: 0896 565 255",bonbanh,2025-12-22
