title,url,price_raw,info_raw,source,crawl_date
"2015 - Kia Rio 1.4 AT - Sedan số tự động đời xe nhập khẩu tên tư nhân biển 30 Xe đẹp tắt nắng, zin về máy số keo chỉ",https://oto.com.vn/mua-ban-xe-kia-rio-hung-yen/sedan-so-tu-dong-doi-xe-nhap-khau-ten-tu-nhan-bien-30-xe-dep-tat-nang-zin-ve-may-so-keo-chi-aidxc23398184,280 triệu,,otocomvn,2025-12-22
2021 - VinFast Fadil - VinFast Fadil 2021 1.4 AT - 68000 km,https://oto.com.vn/mua-ban-xe-vinfast-fadil-binh-duong/2021-14-at-68000-km-aidxc23396548,278 triệu,,otocomvn,2025-12-22
2022 - BMW X5 - Còn bảo hành chính hãng,https://oto.com.vn/mua-ban-xe-bmw-x5-ha-noi/con-bao-hanh-chinh-hang-aidxc23393495,2 tỉ 800 triệu,,otocomvn,2025-12-22
2013 - Land Rover Range Rover Evoque  - Range Rover Evoque 2013 Trắng,https://oto.com.vn/mua-ban-xe-landrover-range-rover-evoque-hcm/2013-trang-aidxc23398019,620 triệu,,otocomvn,2025-12-22
2023 - Hyundai Accent 1.4 AT Đặc biệt - Hyundai Accent 2023 1.4 AT Đặc Biệt - 39000 km,https://oto.com.vn/mua-ban-xe-hyundai-accent-hcm/2023-14-at-dac-biet-39000-km-aidxc23397665,468 triệu,,otocomvn,2025-12-22
2016 - Hyundai Grand i10 1.0 AT - Hyundai Grand i10 2016 1.0 Base - 195000 km,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-da-nang/2016-10-base-195000-km-aidxc23395260,165 triệu,,otocomvn,2025-12-22
2023 - KenBo Xe du lịch - Bán Kenbo 2 chỗ sản xuất năm 2023 đi 4v km,https://oto.com.vn/mua-ban-xe-kenbo-xe-du-lich-ha-noi/ban-2-cho-san-xuat-nam-2023-di-4v-km-aidxc23380379,175 triệu,,otocomvn,2025-12-22
2017 - Ford Ranger XL 2.2 4x4 MT - Ford Ranger 2017 XL 2.2 4x4 MT - 350000 km,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2017-xl-22-4x4-mt-350000-km-aidxc23396650,380 triệu,,otocomvn,2025-12-22
2022 - Volvo S90 Ultimate AWD - Volvo S90 LWB 2022 lướt nhẹ cực đẹp,https://oto.com.vn/mua-ban-xe-volvo-s90-hcm/lwb-2022-luot-nhe-cuc-dep-aidxc23398259,1 tỉ 639 triệu,,otocomvn,2025-12-22
2019 - Hyundai Tucson - Hyundai Tucson 2019 - 80000 km,https://oto.com.vn/mua-ban-xe-hyundai-tucson-nghe-an/2019-80000-km-aidxc23395216,585 triệu,,otocomvn,2025-12-22
2019 - Toyota Innova 2.0G - Toyota Innova 2019 2.0G 56983 km,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/2019-20g-56983-km-aidxc23396708,580 triệu,,otocomvn,2025-12-22
"2022 - Volkswagen Teramont - Nhập Mỹ 16,000 km",https://oto.com.vn/mua-ban-xe-volkswagen-teramont-hcm/nhap-my-16000-km-aidxc23392961,1 tỉ 679 triệu,,otocomvn,2025-12-22
2023 - Ford Ranger Raptor - FORD RAPTOR 2023 XE CÁ NHÂN 1 CHỦ_CHẠY ÍT,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/raptor-2023-xe-ca-nhan-1-chuchay-it-aidxc23360814,1 tỉ 150 triệu,,otocomvn,2025-12-22
"2020 - Suzuki Super Carry Van Blind Van - Bán Su van 2 chỗ sản xuất 2020, đăng kiểm dài, xe đẹp xuất sắc",https://oto.com.vn/mua-ban-xe-suzuki-super-carry-van-ha-noi/ban-su-van-2-cho-san-xuat-2020-dang-kiem-dai-xe-dep-xuat-sac-aidxc23396678,183 triệu,,otocomvn,2025-12-22
2010 - Toyota Vios - Bán Toyota Vios 2010 giá 115triệu,https://oto.com.vn/mua-ban-xe-toyota-vios-bac-giang/ban-2010-gia-115trieu-aidxc23363980,115 triệu,,otocomvn,2025-12-22
2015 - Nissan Sunny 1.5 MT - Bán Nissan Sunny 2015 1 5Mt giá 120tr,https://oto.com.vn/mua-ban-xe-nissan-sunny-bac-giang/ban-2015-1-5mt-gia-120tr-aidxc23382587,120 triệu,,otocomvn,2025-12-22
2010 - Chevrolet Gentra 1.5 AT - Bán Gentra 2010 giá 70triệu,https://oto.com.vn/mua-ban-xe-chevrolet-gentra-bac-giang/ban-2010-gia-70trieu-aidxc23375019,70 triệu,,otocomvn,2025-12-22
2018 - Ford Focus Titanium - Bán Ford Focus sản xuất 2018 bảng titanium,https://oto.com.vn/mua-ban-xe-ford-focus-hcm/ban-san-xuat-2018-bang-titanium-aidxc23398250,359 triệu,,otocomvn,2025-12-22
