title,url,price_raw,info_raw,source,crawl_date
"Xe cũ 2020   Honda City 1.5TOP - 2020  430 Triệu   Hà Nội    Mã: 6603898   *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, 5 chỗ , đã đi 70,000 km ...   CITY TOP 2020
Xanh Cavanside ĐẸP CĂNG * 1 chủ SX - ĐK 8/2020 * 7v zin * Full bảo dưỡng hãng Còn lốp zin theo xe
sơ cua mới cứng Hồ sơ đang rút
Xem xe tại hà nội",https://bonbanh.com/xe-honda-city-1.5top-2020-6603898,430 Triệu,"Xe cũ | 2020 | Honda City 1.5TOP - 2020 | 430 Triệu | Hà Nội | Mã: 6603898 | *Xe lắp ráp trong nước, màu xanh, máy xăng 1.5 L, số tự động, 5 chỗ , đã đi 70,000 km ... | CITY TOP 2020 Xanh Cavanside ĐẸP CĂNG * 1 chủ SX - ĐK 8/2020 * 7v zin * Full bảo dưỡng hãng Còn lốp zin theo xe sơ cua mới cứng Hồ sơ đang rút Xem xe tại hà nội | Liên hệ: | Mỹ Đình | Hà Nội Hà Nội | ĐT: 0878 684 778",bonbanh,2026-01-02
"Xe cũ 2021   Ford Explorer Limited 2.3L EcoBoost - 2021  1 Tỷ 515 Triệu   Hà Nội    Mã: 6603891   *Xe nhập khẩu, màu trắng, máy xăng 2.3 L, số tự động, 7 chỗ , đã đi 71,000 km ...   Tuấn Hưng đang về: Explorer limited 2.3 ecoboost sản xuất 2021. Xe 1 chủ Odo 7,1 vạn Km thay dầu bảo dưỡng đầy đủ tại hãng, Đứng tên công ty xuất hoá đơn 1,1 tỷ bao gồm VAT. ...",https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2021-6603891,1 Tỷ 515 Triệu,"Xe cũ | 2021 | Ford Explorer Limited 2.3L EcoBoost - 2021 | 1 Tỷ 515 Triệu | Hà Nội | Mã: 6603891 | *Xe nhập khẩu, màu trắng, máy xăng 2.3 L, số tự động, 7 chỗ , đã đi 71,000 km ... | Tuấn Hưng đang về: Explorer limited 2.3 ecoboost sản xuất 2021. Xe 1 chủ Odo 7,1 vạn Km thay dầu bảo dưỡng đầy đủ tại hãng, Đứng tên công ty xuất hoá đơn 1,1 tỷ bao gồm VAT. ... | Liên hệ: | Tuấn Hưng Auto | 385 Hữu Hưng, Hà Đông Hà Nội | ĐT: 0978 908 833",bonbanh,2026-01-02
"Xe cũ 2017   Hyundai Elantra 2.0 AT - 2017  385 Triệu   Hà Nội    Mã: 6603888   *Xe lắp ráp trong nước, màu vàng, máy xăng 2.0 L, số tự động, 5 chỗ , đã đi 120,000 km ...   Chợ xe Caron Mỹ Đình - Hệ thống chợ xe toàn quốc!
Hiện đang bán Hyundai Elantra 2.0AT 2017 chạy 12 vạn km zin, nội ngoại thất còn đẹp, chất lượng đạt rất cao lúc mới.
Xin ...",https://bonbanh.com/xe-hyundai-elantra-2.0-at-2017-6603888,385 Triệu,"Xe cũ | 2017 | Hyundai Elantra 2.0 AT - 2017 | 385 Triệu | Hà Nội | Mã: 6603888 | *Xe lắp ráp trong nước, màu vàng, máy xăng 2.0 L, số tự động, 5 chỗ , đã đi 120,000 km ... | Chợ xe Caron Mỹ Đình - Hệ thống chợ xe toàn quốc! Hiện đang bán Hyundai Elantra 2.0AT 2017 chạy 12 vạn km zin, nội ngoại thất còn đẹp, chất lượng đạt rất cao lúc mới. Xin ... | Liên hệ: | Chợ Xe Caron Mỹ Đình | 2 Trần Hữu Dực, Mỹ Đình Hà Nội | ĐT: 0975 207 268 - 0825 597 777",bonbanh,2026-01-02
"Xe mới 2025   Mazda 2 1.5 AT - 2025  398 Triệu   Hà Nội    Mã: 5189637   *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động, 5 chỗ ...   ==> Ưu đãi thêm khi liên hệ trực tiếp
Mazda 2 All New
>>> Hỗ Trợ Cho Vay Trả Góp Mua Xe Lên Tới 90% Giá Trị Của Xe Với Lãi Suất Cực Ưu Đãi Thời Hạn Vay Dài, Thủ Tục Đơn ...",https://bonbanh.com/xe-mazda-2-1.5-at-2025-5189637,398 Triệu,"Xe mới | 2025 | Mazda 2 1.5 AT - 2025 | 398 Triệu | Hà Nội | Mã: 5189637 | *Xe nhập khẩu, màu trắng, máy xăng 1.5 L, số tự động, 5 chỗ ... | ==> Ưu đãi thêm khi liên hệ trực tiếp Mazda 2 All New >>> Hỗ Trợ Cho Vay Trả Góp Mua Xe Lên Tới 90% Giá Trị Của Xe Với Lãi Suất Cực Ưu Đãi Thời Hạn Vay Dài, Thủ Tục Đơn ... | Liên hệ: | Mazda Giải Phóng | Số 207 Ngọc Hồi, Thanh Trì Hà Nội | ĐT: 0961 153 313",bonbanh,2026-01-02
"Xe cũ 2023   Ford Transit Tiêu chuẩn - 2023  699 Triệu   Thái Bình    Mã: 6549140   *Xe lắp ráp trong nước, màu trắng, máy dầu 2.2 L, số tay, 16 chỗ , đã đi 40,000 km ...   Bán Ford Transit LX 16 chỗ màu Trắng Sản xuất 2023 tên cá nhân. Xe đăng ký chính chủ 1 chủ từ mới. Xe chạy ít việc nên cần bán . Đi rất ít mới đi 42.000 km, Sơn Zin 99%, Nội ...",https://bonbanh.com/xe-ford-transit-tieu-chuan-2023-6549140,699 Triệu,"Xe cũ | 2023 | Ford Transit Tiêu chuẩn - 2023 | 699 Triệu | Thái Bình | Mã: 6549140 | *Xe lắp ráp trong nước, màu trắng, máy dầu 2.2 L, số tay, 16 chỗ , đã đi 40,000 km ... | Bán Ford Transit LX 16 chỗ màu Trắng Sản xuất 2023 tên cá nhân. Xe đăng ký chính chủ 1 chủ từ mới. Xe chạy ít việc nên cần bán . Đi rất ít mới đi 42.000 km, Sơn Zin 99%, Nội ... | Liên hệ: | Chợ ô tô Thành Phát | Đường mới thị trấn Quỳnh Côi ( 396b), Quỳnh Phụ Thái Bình | ĐT: 0976 888 978 - 0913 391 332",bonbanh,2026-01-02
"Xe mới 2025   Toyota Alphard 2.4 AT - 2025  4 Tỷ 510 Triệu   Hà Nội    Mã: 6522010   *Xe nhập khẩu, màu đồng, máy xăng 2.4 L, số tự động, 7 chỗ ...   *** Toyota Alphard sẵn xe - ĐEN - TRẮNG - Giao Sớm Toàn Quốc
===================== Giá TỐT NHẤT
--- NHẬN làm biển số ĐẸP - GIÁ RẺ
Thiết kế hoàn toàn mới
- Trang bị đèn pha ...",https://bonbanh.com/xe-toyota-alphard-2.4-at-2025-6522010,4 Tỷ 510 Triệu,"Xe mới | 2025 | Toyota Alphard 2.4 AT - 2025 | 4 Tỷ 510 Triệu | Hà Nội | Mã: 6522010 | *Xe nhập khẩu, màu đồng, máy xăng 2.4 L, số tự động, 7 chỗ ... | *** Toyota Alphard sẵn xe - ĐEN - TRẮNG - Giao Sớm Toàn Quốc ===================== Giá TỐT NHẤT --- NHẬN làm biển số ĐẸP - GIÁ RẺ Thiết kế hoàn toàn mới - Trang bị đèn pha ... | Liên hệ: | Lộc Phát | Hà Đông Hà Nội | ĐT: 0933 607 777",bonbanh,2026-01-02
"Xe mới 2025   Mitsubishi Xforce GLX - 2025  529 Triệu   TP HCM    Mã: 6401003   *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động, 5 chỗ ...   Mitsubishi Xforce GLX Đen
Ưu đãi đặc biệt dành riêng cho khách hàng tháng này: Tặng 100% Thuế trước bạ Tặng bảo hiểm vật chất thân xe Giao xe nhanh, thủ tục vay đơn ...",https://bonbanh.com/xe-mitsubishi-xforce-glx-2025-6401003,529 Triệu,"Xe mới | 2025 | Mitsubishi Xforce GLX - 2025 | 529 Triệu | TP HCM | Mã: 6401003 | *Xe nhập khẩu, màu đen, máy xăng 1.5 L, số tự động, 5 chỗ ... | Mitsubishi Xforce GLX Đen Ưu đãi đặc biệt dành riêng cho khách hàng tháng này: Tặng 100% Thuế trước bạ Tặng bảo hiểm vật chất thân xe Giao xe nhanh, thủ tục vay đơn ... | Liên hệ: | Mitsubishi Bến Thành | 63A Võ Văn Kiệt, P. An Lạc, Quận Bình Tân TP HCM | ĐT: 0966 223 730",bonbanh,2026-01-02
"Xe cũ 2022   Peugeot 5008 GT 1.6 AT - 2022  845 Triệu   TP HCM    Mã: 6517555   *Xe lắp ráp trong nước, màu trắng, máy xăng 1.6 L, số tự động, 7 chỗ , đã đi 43,000 km ...   Peugeot 5008 GT LINE 1.6AT ️Sản xuất: 2022 ️Số Tự Động ️Máy Xăng ODO: 43.000km Màu: Trắng Biển: TP.HCM ️Xe trang bị nổi bật: Hệ Thống 10 loa Focal Hifi cao cấp. ...",https://bonbanh.com/xe-peugeot-5008-gt-1.6-at-2022-6517555,845 Triệu,"Xe cũ | 2022 | Peugeot 5008 GT 1.6 AT - 2022 | 845 Triệu | TP HCM | Mã: 6517555 | *Xe lắp ráp trong nước, màu trắng, máy xăng 1.6 L, số tự động, 7 chỗ , đã đi 43,000 km ... | Peugeot 5008 GT LINE 1.6AT ️Sản xuất: 2022 ️Số Tự Động ️Máy Xăng ODO: 43.000km Màu: Trắng Biển: TP.HCM ️Xe trang bị nổi bật: Hệ Thống 10 loa Focal Hifi cao cấp. ... | Liên hệ: | Nguyen Kim Ngân | Thủ Đức TP HCM | ĐT: 0932 674 863",bonbanh,2026-01-02
"Xe mới 2025   Ford Mustang Mach-E Premium AWD - 2025  2 Tỷ 499 Triệu   Hà Nội    Mã: 6387643   *Xe nhập khẩu, màu đỏ, xe điện , số tự động, 5 chỗ ...   - Khuyến mãi 100tr cho 300 khách hàng đầu tiên
- Mầu sắc: trắng, đỏ, đen, xanh
- Trả góp tối đa 85%
- Lãi suất ưu đãi chỉ từ 0.6%/ tháng, cố định trong 3 năm
- Cung cấp ...",https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6387643,2 Tỷ 499 Triệu,"Xe mới | 2025 | Ford Mustang Mach-E Premium AWD - 2025 | 2 Tỷ 499 Triệu | Hà Nội | Mã: 6387643 | *Xe nhập khẩu, màu đỏ, xe điện , số tự động, 5 chỗ ... | - Khuyến mãi 100tr cho 300 khách hàng đầu tiên - Mầu sắc: trắng, đỏ, đen, xanh - Trả góp tối đa 85% - Lãi suất ưu đãi chỉ từ 0.6%/ tháng, cố định trong 3 năm - Cung cấp ... | Liên hệ: | Long Biên Ford | Số 3 Nguyễn Văn Linh - Long Biên Hà Nội | ĐT: 0915 856 859",bonbanh,2026-01-02
"Xe cũ 2022   Mercedes Benz V class V250 Maybach Luxury - 2022  3 Tỷ 499 Triệu   Hà Nội    Mã: 5808959   *Xe nhập khẩu, màu trắng, máy xăng 2.0 L, số tự động, 6 chỗ ...   Chính chủ nhờ bán V Maybach mới đăng ký lấy biển chưa sử dụng như xe mới
Gói nội thất Maybach Luxury dành cho thương gia.",https://bonbanh.com/xe-mercedes_benz-v_class-v250-maybach-luxury-2022-5808959,3 Tỷ 499 Triệu,"Xe cũ | 2022 | Mercedes Benz V class V250 Maybach Luxury - 2022 | 3 Tỷ 499 Triệu | Hà Nội | Mã: 5808959 | *Xe nhập khẩu, màu trắng, máy xăng 2.0 L, số tự động, 6 chỗ ... | Chính chủ nhờ bán V Maybach mới đăng ký lấy biển chưa sử dụng như xe mới Gói nội thất Maybach Luxury dành cho thương gia. | Liên hệ: | Nguyễn Duy Việt | 46- Phố Láng Hạ, - Đống Đa, Hà Nội Hà Nội | ĐT: 0984 665 566 - 0902 371 979",bonbanh,2026-01-02
"Xe cũ 2012   Hyundai SantaFe 2.0L - 2012  420 Triệu   Hà Nội    Mã: 6557439   *Xe nhập khẩu, màu bạc, máy dầu 2.0 L, số tự động, 7 chỗ , đã đi 80,000 km ...   Hyundai Santafe 2.0L cuối 2012 tự động, máy dầu 3 vùng điều hòa. Chủ xe đã vào full đồ chơi xe. Camera 360 + camera hành trình trước sau + Thảm sàn 5D..... . MỚi Nhất Việt Nam. Quá ...",https://bonbanh.com/xe-hyundai-santafe-2.0l-2012-6557439,420 Triệu,"Xe cũ | 2012 | Hyundai SantaFe 2.0L - 2012 | 420 Triệu | Hà Nội | Mã: 6557439 | *Xe nhập khẩu, màu bạc, máy dầu 2.0 L, số tự động, 7 chỗ , đã đi 80,000 km ... | Hyundai Santafe 2.0L cuối 2012 tự động, máy dầu 3 vùng điều hòa. Chủ xe đã vào full đồ chơi xe. Camera 360 + camera hành trình trước sau + Thảm sàn 5D..... . MỚi Nhất Việt Nam. Quá ... | Liên hệ: | Salon Auto Đào Hằng | QL3, Ngã 3 Đền Thánh Gióng, TT Sóc Sơn Hà Nội | ĐT: 0912 882 558 - 0913 312 524",bonbanh,2026-01-02
