title,url,price_raw,info_raw,source,crawl_date
"2015 - Kia Rio 1.4 AT - Sedan số tự động đời xe nhập khẩu tên tư nhân biển 30 Xe đẹp tắt nắng, zin về máy số keo chỉ",https://oto.com.vn/mua-ban-xe-kia-rio-hung-yen/sedan-so-tu-dong-doi-xe-nhap-khau-ten-tu-nhan-bien-30-xe-dep-tat-nang-zin-ve-may-so-keo-chi-aidxc23398184,280 triệu,,otocomvn,2025-12-22
2020 - Suzuki XL7 - Suzuki XL7 2020 Xám đã đi 22000 km,https://oto.com.vn/mua-ban-xe-suzuki-xl7-ba-ria-vung-tau/2020-xam-da-di-22000-km-aidxc23397492,435 triệu,,otocomvn,2025-12-22
2019 - Mercedes-Benz E300 - Mercedes-Benz E300 2019,https://oto.com.vn/mua-ban-xe-mercedes-benz-e300-ha-noi/2019-aidxc23396415,1 tỉ 288 triệu,,otocomvn,2025-12-22
2013 - Land Rover Range Rover AutoBiography 3.0 - Upform 2023,https://oto.com.vn/mua-ban-xe-landrover-range-rover-hcm/upform-2023-aidxc23365207,1 tỉ 999 triệu,,otocomvn,2025-12-22
"2022 - Mercedes-Benz G63 - Nhập Mỹ chuẩn 20,000 km",https://oto.com.vn/mua-ban-xe-mercedes-benz-g63-hcm/nhap-my-chuan-20000-km-aidxc23392954,9 tỉ 679 triệu,,otocomvn,2025-12-22
"2019 - Porsche Macan 2.0 - Chuẩn 42,000 km",https://oto.com.vn/mua-ban-xe-porsche-macan-hcm/chuan-42000-km-aidxc23392953,2 tỉ 279 triệu,,otocomvn,2025-12-22
2008 - Toyota Camry LE 2.4 - Nhập Mỹ,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/nhap-my-aidxc23387490,320 triệu,,otocomvn,2025-12-22
2017 - Toyota Fortuner 2.7V - Toyota Fortuner 2017 2.7V 4x2 AT - 110000 km,https://oto.com.vn/mua-ban-xe-toyota-fortuner-khanh-hoa/2017-27v-4x2-at-110000-km-aidxc23396944,685 triệu,,otocomvn,2025-12-22
2014 - Toyota Vios 1.5E MT - 101 2014 E MT - 360000 km,https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/101-2014-e-mt-360000-km-aidxc23396869,250 triệu,,otocomvn,2025-12-22
2022 - Mercedes-Benz C200 Avantgarde - Trắng Nâu,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-hcm/trang-nau-aidxc23380054,1 tỉ 268 triệu,,otocomvn,2025-12-22
