title,url,price_raw,info_raw,source,crawl_date
"2015 - Kia Rio 1.4 AT - Sedan số tự động đời xe nhập khẩu tên tư nhân biển 30 Xe đẹp tắt nắng, zin về máy số keo chỉ",,280 triệu,,otocomvn,2025-12-22
"2022 - Volkswagen Teramont - Nhập Mỹ 16,000 km",,1 tỉ 679 triệu,,otocomvn,2025-12-22
2023 - Ford Ranger Raptor - FORD RAPTOR 2023 XE CÁ NHÂN 1 CHỦ_CHẠY ÍT,,1 tỉ 150 triệu,,otocomvn,2025-12-22
"2020 - Suzuki Super Carry Van Blind Van - Bán Su van 2 chỗ sản xuất 2020, đăng kiểm dài, xe đẹp xuất sắc",,183 triệu,,otocomvn,2025-12-22
2010 - Toyota Vios - Bán Toyota Vios 2010 giá 115triệu,,115 triệu,,otocomvn,2025-12-22
2015 - Nissan Sunny 1.5 MT - Bán Nissan Sunny 2015 1 5Mt giá 120tr,,120 triệu,,otocomvn,2025-12-22
2010 - Chevrolet Gentra 1.5 AT - Bán Gentra 2010 giá 70triệu,,70 triệu,,otocomvn,2025-12-22
2018 - Ford Focus Titanium - Bán Ford Focus sản xuất 2018 bảng titanium,,359 triệu,,otocomvn,2025-12-22
2019 - Ford EcoSport - Ford EcoSport 2019 Nâu 51000 km,,400 triệu,,otocomvn,2025-12-22
2017 - Toyota Vios - Toyota Vios 2017 Bạc 5 chỗ,,235 triệu,,otocomvn,2025-12-22
2019 - Ford Ranger Wildtrak 2.0L 4x2 AT - FORD RANGER 2019 SỐ TỰ ĐỘNG_HỖ TRỢ GÓP 70%_BAO TEST,,540 triệu,,otocomvn,2025-12-22
2018 - Kia Sorento - Kia Sorento 2018 Dầu Trắng,,450 triệu,,otocomvn,2025-12-22
2022 - Toyota Corolla Cross - Toyota Corolla Cross 2022 tại Hà Nội,,700 triệu,,otocomvn,2025-12-22
2023 - Mercedes-Benz GLC 300 4Matic - Mercedes GLC300 4Matic 2023 lướt nhẹ cực đẹp,,2 tỉ 279 triệu,,otocomvn,2025-12-22
2018 - Audi Q7 2.0 TFSI - Audi Q7 2018 2.0 TFSI Quattro - 122894 km,,1 tỉ 600 triệu,,otocomvn,2025-12-22
"2018 - Jaguar E-Pace 2.0L I4 Tubrocharged R-Dynamic - Chuẩn 52,000 km",,879 triệu,,otocomvn,2025-12-22
"2022 - Mercedes-Benz G63 - Nhập Mỹ chuẩn 20,000 km",,9 tỉ 679 triệu,,otocomvn,2025-12-22
2010 - Kia Morning - Kia Morning 2010 tại Hà Nội,,142 triệu,,otocomvn,2025-12-22
2022 - Volvo S90 - Volvo S90 2022 Xám 5 chỗ,,1 tỉ 750 triệu,,otocomvn,2025-12-22
2024 - VinFast VF5 Plus - VinFast VF5 2024 Plus - 36 km,,425 triệu,,otocomvn,2025-12-22
"2020 - Mercedes-Benz GLS 450 4Matic - Xe SUV cao cấp đã qua sử dụng, chất lượng đảm bảo",,3 tỉ 279 triệu,,otocomvn,2025-12-22
2016 - Porsche Macan  - Sẵn nâng cấp full phiên bản 2020,,1 tỉ 589 triệu,,otocomvn,2025-12-22
"2014 - Land Rover Range Rover - Chất lượng xe hoàn hảo, mới được bảo dưỡng cấp lớn tổng thể",,2 tỉ 450 triệu,,otocomvn,2025-12-22
"2022 - Mercedes-Benz GLS 450 4Matic - Giá SUV full size hợp lý quá rồi, liên hệ ngay cho em ạ",,4 tỉ 139 triệu,,otocomvn,2025-12-22
2016 - Toyota Fortuner - Toyota Fortuner Bạc 7 chỗ,,500 triệu,,otocomvn,2025-12-22
2016 - Ford EcoSport Titanium - Ford EcoSport 2017 Titanium 70.000 km,,310 triệu,,otocomvn,2025-12-22
2022 - Ford Ranger - Ford Ranger 2022 Đỏ 51000 km,,560 triệu,,otocomvn,2025-12-22
2025 - Honda City RS - Honda City 2025 RS Trắng,,550 triệu,,otocomvn,2025-12-22
2022 - Toyota Vios G - Toyota Vios 2022 G 67000 km,,430 triệu,,otocomvn,2025-12-22
