title,url,price_raw,info_raw,source,crawl_date
2021 - Mercedes-Benz AMG G63 4Matic - Mercedes AMG G63 4Matic Model 2021,https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-g-63-hcm/mercedes-amg-g63-4matic-model-2021-aidxc23398655,7 tỉ 500 triệu,2021 - Mercedes-Benz AMG G63 4Matic - Mercedes AMG G63 4Matic Model 2021 | 22.000 km | Máy xăng | Số tự động | Xe cũ | 7 tỉ 500 triệu | Auto Minh Luân | Tp.HCM | 0906444444 | Gọi ngay,otocomvn,2025-12-26
"2015 - Kia Rio 1.4 AT - Sedan số tự động đời xe nhập khẩu tên tư nhân biển 30 Xe đẹp tắt nắng, zin về máy số keo chỉ",https://oto.com.vn/mua-ban-xe-kia-rio-hung-yen/sedan-so-tu-dong-doi-xe-nhap-khau-ten-tu-nhan-bien-30-xe-dep-tat-nang-zin-ve-may-so-keo-chi-aidxc23398184,280 triệu,"2015 - Kia Rio 1.4 AT - Sedan số tự động đời xe nhập khẩu tên tư nhân biển 30 Xe đẹp tắt nắng, zin về máy số keo chỉ | 80.000 km | Máy xăng | Số tự động | Xe cũ | 280 triệu | Auto Luyến Hằng | Hưng Yên | 0911331482 | Gọi ngay",otocomvn,2025-12-26
2019 - Honda CR-V 1.5 L - Lên bộ loa cực chất,https://oto.com.vn/mua-ban-xe-honda-cr-v-ha-noi/len-bo-loa-cuc-chat-aidxc23398352,779 triệu,2019 - Honda CR-V 1.5 L - Lên bộ loa cực chất | 70.000 km | Máy xăng | Số tự động | Xe cũ | 779 triệu | Thế Giới Xe Ô Tô | Hà Nội | 0977645018 | Gọi ngay,otocomvn,2025-12-26
2019 - Mazda 3 Sport 2.0L Signature Premium - Mazda 3 2019 2.0L Sport Signature Premium - 70 km,https://oto.com.vn/mua-ban-xe-mazda-3-da-nang/2019-20l-sport-signature-premium-70-km-aidxc23397366,450 triệu,2019 - Mazda 3 Sport 2.0L Signature Premium - Mazda 3 2019 2.0L Sport Signature Premium - 70 km | 70 km | Máy xăng | Số tự động | Xe cũ | 450 triệu | Ý Nguyễn | Đà Nẵng | 0908437943 | Gọi ngay,otocomvn,2025-12-26
2023 - Mercedes-Benz GLC 300 4Matic - Mercedes GLC300 4Matic 2023 siêu lướt 11.000km cực đẹp,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/mercedes-glc300-4matic-2023-sieu-luot-11000km-cuc-dep-aidxc23397219,2 tỉ 279 triệu,2023 - Mercedes-Benz GLC 300 4Matic - Mercedes GLC300 4Matic 2023 siêu lướt 11.000km cực đẹp | 11.000 km | Máy xăng | Số tự động | Xe cũ | 2 tỉ 279 triệu | Good Car | Tp.HCM | 0923456234 | Gọi ngay,otocomvn,2025-12-26
2014 - Ford Ranger XLS 2.2 4x2 AT - Xe rẻ chất mới,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/xe-re-chat-moi-aidxc23391849,319 triệu,2014 - Ford Ranger XLS 2.2 4x2 AT - Xe rẻ chất mới | 190.000 km | Máy dầu | Số tự động | Xe cũ | 319 triệu | Thế Giới Xe Ô Tô | Hà Nội | 0977645018 | Gọi ngay,otocomvn,2025-12-26
2017 - Mazda 3 1.5L Sedan - Trang nhã lịch sự,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/trang-nha-lich-su-aidxc23396967,395 triệu,2017 - Mazda 3 1.5L Sedan - Trang nhã lịch sự | 80.000 km | Máy xăng | Số tự động | Xe cũ | 395 triệu | Thế Giới Xe Ô Tô | Hà Nội | 0977645018 | Gọi ngay,otocomvn,2025-12-26
2020 - Ford Ranger XLS 2.2 4x2 MT - FORD RANGER 2020 NHẬP THÁI SỐ SÀN_1 CHỦ XE ĐI RẤT KỸ,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2020-nhap-thai-so-san1-chu-xe-di-rat-ky-aidxc23382547,515 triệu,2020 - Ford Ranger XLS 2.2 4x2 MT - FORD RANGER 2020 NHẬP THÁI SỐ SÀN_1 CHỦ XE ĐI RẤT KỸ | 60.000 km | Máy dầu | Số sàn | Xe cũ | 515 triệu | BẾN THÀNH FORD | Tp.HCM | 0931931913 | Gọi ngay,otocomvn,2025-12-26
2022 - Hyundai Santa Fe - Hyundai Santa Fe 2022 Đỏ 44000 km,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/2022-do-44000-km-aidxc23397286,1 tỉ 200 triệu,2022 - Hyundai Santa Fe - Hyundai Santa Fe 2022 Đỏ 44000 km | 44.000 km | Máy xăng | Số tự động | Xe cũ | 1 tỉ 200 triệu | Ph Thuy | Tp.HCM | 0909477091 | Gọi ngay,otocomvn,2025-12-26
2017 - Mazda 3 1.5L Sedan - Mới lắm,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/moi-lam-aidxc23398141,393 triệu,2017 - Mazda 3 1.5L Sedan - Mới lắm | 72.000 km | Máy xăng | Số tự động | Xe cũ | 393 triệu | Thế Giới Xe Ô Tô | Hà Nội | 0977645018 | Gọi ngay,otocomvn,2025-12-26
2022 - Toyota Corolla Altis 1.8 V - Toyota Altis 2022 1.8V 23.000km Trắng,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/altis-2022-18v-23000km-trang-aidxc23397064,680 triệu,2022 - Toyota Corolla Altis 1.8 V - Toyota Altis 2022 1.8V 23.000km Trắng | 23.000 km | Máy xăng | Số tự động | Xe cũ | 680 triệu | Nguyễn Hoàng Long | Tp.HCM | 0932938399 | Gọi ngay,otocomvn,2025-12-26
"2010 - Toyota Fortuner 2.7 V 4X4 AT - Xe cực đẹp bản 2 cầu, liên hệ em xem xe",https://oto.com.vn/mua-ban-xe-toyota-fortuner-hai-duong/xe-cuc-dep-ban-2-cau-lien-he-em-xem-xe-aidxc23398497,289 triệu,"2010 - Toyota Fortuner 2.7 V 4X4 AT - Xe cực đẹp bản 2 cầu, liên hệ em xem xe | 160.000 km | Máy xăng | Số tự động | Xe cũ | 289 triệu | Nhất Tín Ô Tô Hải... | Hải Dương | 0988131545 | Gọi ngay",otocomvn,2025-12-26
2019 - Hyundai Accent 1.4 MT - Giá 288 triệu,https://oto.com.vn/mua-ban-xe-hyundai-accent-hai-duong/gia-288-trieu-aidxc23297714,288 triệu,2019 - Hyundai Accent 1.4 MT - Giá 288 triệu | 70.000 km | Máy xăng | Số sàn | Xe cũ | 288 triệu | Salon Phong Ô tô ... | Hải Dương | 0988478009 | Gọi ngay,otocomvn,2025-12-26
2015 - Hyundai Grand i10 - Hyundai Grand i10 2015,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/2015-aidxc23398389,152 triệu,2015 - Hyundai Grand i10 - Hyundai Grand i10 2015 | Máy xăng | Số tự động | Xe cũ | 152 triệu | Nguyễn Thế Cường | Hà Nội | 0974028666 | Gọi ngay,otocomvn,2025-12-26
2024 - Hyundai Accent 1.4 AT - Như mới,https://oto.com.vn/mua-ban-xe-hyundai-accent-ha-noi/nhu-moi-aidxc23398354,459 triệu,2024 - Hyundai Accent 1.4 AT - Như mới | 22.000 km | Máy xăng | Số tự động | Xe cũ | 459 triệu | Thế Giới Xe Ô Tô | Hà Nội | 0977645018 | Gọi ngay,otocomvn,2025-12-26
2019 - Volvo XC40 B5 AWD Ultimate - Model 2020 Nhập khẩu,https://oto.com.vn/mua-ban-xe-volvo-xc40-hcm/model-2020-nhap-khau-aidxc23398345,939 triệu,2019 - Volvo XC40 B5 AWD Ultimate - Model 2020 Nhập khẩu | 33.000 km | Máy xăng | Số tự động | Xe cũ | 939 triệu | NSG ( NAM SÀI GÒN... | Tp.HCM | 0948608686 | Gọi ngay,otocomvn,2025-12-26
