title,url,price_raw,info_raw,source,crawl_date
"Xe cũ 2018   Maserati Levante 3.0 V6 - 2018  2 Tỷ 199 Triệu   Hà Nội    Mã: 6491936   *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động, 5 chỗ , đã đi 40,000 km ...   Tình trạng đẹp không lỗi bao test toàn quốc
Xe dân ký gửi giao dịch trực tiếp với chủ xe
Có hỗ trợ bank
Xe wrap cam ( gốc màu đen )",https://bonbanh.com/xe-maserati-levante-3.0-v6-2018-6491936,2 Tỷ 199 Triệu,"Xe cũ | 2018 | Maserati Levante 3.0 V6 - 2018 | 2 Tỷ 199 Triệu | Hà Nội | Mã: 6491936 | *Xe nhập khẩu, màu đen, máy xăng 3.0 L, số tự động, 5 chỗ , đã đi 40,000 km ... | Tình trạng đẹp không lỗi bao test toàn quốc Xe dân ký gửi giao dịch trực tiếp với chủ xe Có hỗ trợ bank Xe wrap cam ( gốc màu đen ) | Liên hệ: | Flex Car | Mỹ đình Peark - Số 01 Châu văn Liêm , Mễ Trì - Nam Từ Liêm Hà Nội | ĐT: 0903 315 555",bonbanh,2026-01-09
"Xe cũ 2019   Hyundai Accent 1.4 MT - 2019  278 Triệu   Hải Dương    Mã: 6593542   *Xe lắp ráp trong nước, màu bạc, máy xăng 1.4 L, số tay, 5 chỗ ...   HYUNDAI ACCENT 2019 MT –
Xe tư nhân chính chủ, số tay 1.4L, SX 2019 – tiết kiệm chỉ ~5.5L/100km ⛽
✓ Xi-nhan LED trên gương, gương gập chỉnh điện
✓ Vô lăng tích hợp, độ màn ...",https://bonbanh.com/xe-hyundai-accent-1.4-mt-2019-6593542,278 Triệu,"Xe cũ | 2019 | Hyundai Accent 1.4 MT - 2019 | 278 Triệu | Hải Dương | Mã: 6593542 | *Xe lắp ráp trong nước, màu bạc, máy xăng 1.4 L, số tay, 5 chỗ ... | HYUNDAI ACCENT 2019 MT – Xe tư nhân chính chủ, số tay 1.4L, SX 2019 – tiết kiệm chỉ ~5.5L/100km ⛽ ✓ Xi-nhan LED trên gương, gương gập chỉnh điện ✓ Vô lăng tích hợp, độ màn ... | Liên hệ: | Salon Phong Ôtô | Khu 7 Phường Thái Học, TP Chí Linh Hải Dương | ĐT: 0988 478 009",bonbanh,2026-01-09
"Xe mới 2025   Ford Ranger Raptor 2.0L 4x4 AT - 2025  1 Tỷ 299 Triệu   Hà Nội    Mã: 6563871   *Xe nhập khẩu, màu đen, máy dầu 2.0 L, số tự động, 5 chỗ ...   Ranger Raptor 4x4 10AT – Chủ động kiểm soát, trên mọi địa hình !
- Xe đủ màu giao ngay
- Hỗ trợ vay ngân hàng, lãi suất ưu đãi, trả góp lên đến 8 năm.
- Nhận xe ngay chỉ ...",https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2025-6563871,1 Tỷ 299 Triệu,"Xe mới | 2025 | Ford Ranger Raptor 2.0L 4x4 AT - 2025 | 1 Tỷ 299 Triệu | Hà Nội | Mã: 6563871 | *Xe nhập khẩu, màu đen, máy dầu 2.0 L, số tự động, 5 chỗ ... | Ranger Raptor 4x4 10AT – Chủ động kiểm soát, trên mọi địa hình ! - Xe đủ màu giao ngay - Hỗ trợ vay ngân hàng, lãi suất ưu đãi, trả góp lên đến 8 năm. - Nhận xe ngay chỉ ... | Liên hệ: | Hà Đông Ford | 1105 Do Lộ, P. Yên Nghĩa, Q Hà Đông Hà Nội | ĐT: 0985 717 996",bonbanh,2026-01-09
"Xe mới 2024   Mitsubishi Pajero Sport 3.0G 4x4 AT Premium - 2024  1 Tỷ 310 Triệu   Hà Nội    Mã: 6347821   *Xe nhập khẩu, màu bạc, máy xăng 3.0 L, số tự động, 7 chỗ ...   Pajero máy xăng 07 chỗ, tự động, nhập Thái, 2 cầu 3.0L - V6 sản xuất 2024.
Cụ nào ghét mùi dầu thì ps xăng vừa bốc. ps nó vẫn là 1 cái gì rất riêng rất ngầu. nó là 3.0 - 6 ...",https://bonbanh.com/xe-mitsubishi-pajero-sport-3.0g-4x4-at-premium-2024-6347821,1 Tỷ 310 Triệu,"Xe mới | 2024 | Mitsubishi Pajero Sport 3.0G 4x4 AT Premium - 2024 | 1 Tỷ 310 Triệu | Hà Nội | Mã: 6347821 | *Xe nhập khẩu, màu bạc, máy xăng 3.0 L, số tự động, 7 chỗ ... | Pajero máy xăng 07 chỗ, tự động, nhập Thái, 2 cầu 3.0L - V6 sản xuất 2024. Cụ nào ghét mùi dầu thì ps xăng vừa bốc. ps nó vẫn là 1 cái gì rất riêng rất ngầu. nó là 3.0 - 6 ... | Liên hệ: | Mitsubishi An Dân | Số 1 Nguyễn Văn Linh , Long Biên Hà Nội | ĐT: 0938 821 311",bonbanh,2026-01-09
"Xe cũ 2020   VinFast Fadil 1.4 AT - 2020  290 Triệu   Tuyên Quang    Mã: 6592605   *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.4 L, số tự động, 5 chỗ , đã đi 68,000 km ...   Fadil 2020 bản Base xe đẹp rin không lỗi.
- Odo 6,8 vạn km.
- Màn hình camera 360 độ.
- 4 lốp mới,đăng kiểm dài.
- Động cơ hộp số rin.
- Keo chỉ khung giằng nguyên bản.",https://bonbanh.com/xe-vinfast-fadil-1.4-at-2020-6592605,290 Triệu,"Xe cũ | 2020 | VinFast Fadil 1.4 AT - 2020 | 290 Triệu | Tuyên Quang | Mã: 6592605 | *Xe lắp ráp trong nước, màu đỏ, máy xăng 1.4 L, số tự động, 5 chỗ , đã đi 68,000 km ... | Fadil 2020 bản Base xe đẹp rin không lỗi. - Odo 6,8 vạn km. - Màn hình camera 360 độ. - 4 lốp mới,đăng kiểm dài. - Động cơ hộp số rin. - Keo chỉ khung giằng nguyên bản. | Liên hệ: | Đức Dũng Auto | Tổ 13, Phường An Tường, TP Tuyên Quang Tuyên Quang | ĐT: 0868 051 997",bonbanh,2026-01-09
"Xe cũ 2018   Ford Ranger Wildtrak 2.0L 4x4 AT - 2018  575 Triệu   Ninh Bình    Mã: 6524687   *Xe nhập khẩu, màu vàng, máy dầu 2.0 L, số tự động, 5 chỗ , đã đi 13,000 km ...   Ford wildtrak 2.0 bản full 2 cầu 1 chủ từ mới, cam kết bằng văn bản xe ko tai nạn, thuỷ kích. Bao check test toàn quốc sai cam kết bên e chịu toàn bộ chi phí.",https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2018-6524687,575 Triệu,"Xe cũ | 2018 | Ford Ranger Wildtrak 2.0L 4x4 AT - 2018 | 575 Triệu | Ninh Bình | Mã: 6524687 | *Xe nhập khẩu, màu vàng, máy dầu 2.0 L, số tự động, 5 chỗ , đã đi 13,000 km ... | Ford wildtrak 2.0 bản full 2 cầu 1 chủ từ mới, cam kết bằng văn bản xe ko tai nạn, thuỷ kích. Bao check test toàn quốc sai cam kết bên e chịu toàn bộ chi phí. | Liên hệ: | Auto 66 | 246 đường 30/6 Nam Thành Ninh Bình | ĐT: 0919 359 999",bonbanh,2026-01-09
"Xe mới 2023   Volkswagen Teramont 2.0 AT - 2023  1 Tỷ 788 Triệu   Bắc Ninh    Mã: 6428216   *Xe nhập khẩu, màu xanh, máy xăng 2.0 L, số tự động, 7 chỗ ...   VOLKSWAGEN TERAMONT USA
Teramont có xe sẵn giao ngay, nhiều ưu đãi hấp dẫn
✔ Xe Thương hiệu Đức 7 chỗ full size
✔ Trang bị động cơ tăng áp 2.0 TSI Turbo - công suất 220 ...",https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2023-6428216,1 Tỷ 788 Triệu,"Xe mới | 2023 | Volkswagen Teramont 2.0 AT - 2023 | 1 Tỷ 788 Triệu | Bắc Ninh | Mã: 6428216 | *Xe nhập khẩu, màu xanh, máy xăng 2.0 L, số tự động, 7 chỗ ... | VOLKSWAGEN TERAMONT USA Teramont có xe sẵn giao ngay, nhiều ưu đãi hấp dẫn ✔ Xe Thương hiệu Đức 7 chỗ full size ✔ Trang bị động cơ tăng áp 2.0 TSI Turbo - công suất 220 ... | Liên hệ: | Volkswagen Bắc Ninh | Toà nhà Parkview City - 125 Huyền Quang - Võ Cường - Tp Bắc Ninh Bắc Ninh | ĐT: 0911 994 333",bonbanh,2026-01-09
"Xe cũ 2012   Mazda 2 1.5 AT - 2012  260 Triệu   Gia Lai    Mã: 6356278   *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, 5 chỗ ...   Bán Mazda 2 số tự động đời 2012 máy 1.5 tiết kiệm nhiên liệu, xe chính chủ đang sử dụng,
Chi tiết xin liên hệ xem xe tại 29 Lê Duẩn Pleiku Gia Lai",https://bonbanh.com/xe-mazda-2-1.5-at-2012-6356278,260 Triệu,"Xe cũ | 2012 | Mazda 2 1.5 AT - 2012 | 260 Triệu | Gia Lai | Mã: 6356278 | *Xe lắp ráp trong nước, màu trắng, máy xăng 1.5 L, số tự động, 5 chỗ ... | Bán Mazda 2 số tự động đời 2012 máy 1.5 tiết kiệm nhiên liệu, xe chính chủ đang sử dụng, Chi tiết xin liên hệ xem xe tại 29 Lê Duẩn Pleiku Gia Lai | Liên hệ: | Auto Hùng Tiến | 29 Lê Duẩn, Thành phố Pleiku Gia Lai | ĐT: 0971 827 777",bonbanh,2026-01-09
"Xe cũ 2023   Kia Carnival Premium 2.2D 7S - 2023  1 Tỷ 199 Triệu   Hà Nội    Mã: 6351515   *Xe lắp ráp trong nước, màu đen, máy dầu 2.2 L, số tự động, 7 chỗ ...   Carnival Premium 2.2D 7 sx 2023
chỗ màu Đen. Xe 1 chủ từ mới đki T8/2023. Xe đẹp xuất sắc. Bảo dưỡng đầy đủ.",https://bonbanh.com/xe-kia-carnival-premium-2.2d-7s-2023-6351515,1 Tỷ 199 Triệu,"Xe cũ | 2023 | Kia Carnival Premium 2.2D 7S - 2023 | 1 Tỷ 199 Triệu | Hà Nội | Mã: 6351515 | *Xe lắp ráp trong nước, màu đen, máy dầu 2.2 L, số tự động, 7 chỗ ... | Carnival Premium 2.2D 7 sx 2023 chỗ màu Đen. Xe 1 chủ từ mới đki T8/2023. Xe đẹp xuất sắc. Bảo dưỡng đầy đủ. | Liên hệ: | Hưng Dũng Auto | 896 Đường Láng, Cầu Giấy Hà Nội | ĐT: 0982 009 999 - 0929 896 896",bonbanh,2026-01-09
"Xe cũ 2014   Rolls Royce Wraith 6.6 V12 - 2014  9 Tỷ 500 Triệu   Hà Nội    Mã: 6580434   *Xe nhập khẩu, màu trắng, máy xăng 6.6 L, số tự động, 4 chỗ , đã đi 30,000 km ...   Bán Wraith xám xi măng nội thất đỏ duy nhất thị trường hỗ trợ vay bank ae có nhu cầu call",https://bonbanh.com/xe-rolls_royce-wraith-6.6-v12-2014-6580434,9 Tỷ 500 Triệu,"Xe cũ | 2014 | Rolls Royce Wraith 6.6 V12 - 2014 | 9 Tỷ 500 Triệu | Hà Nội | Mã: 6580434 | *Xe nhập khẩu, màu trắng, máy xăng 6.6 L, số tự động, 4 chỗ , đã đi 30,000 km ... | Bán Wraith xám xi măng nội thất đỏ duy nhất thị trường hỗ trợ vay bank ae có nhu cầu call | Liên hệ: | Auto 99 | 140 Nguyễn Văn Giáp, Nam Từ Liêm Hà Nội | ĐT: 0967 999 999",bonbanh,2026-01-09
"Xe cũ 2009   Nissan Teana 2.5 AT 250XV - 2009  235 Triệu   Thái Bình    Mã: 6614535   *Xe nhập khẩu, màu đen, máy xăng 2.5 L, số tự động, 5 chỗ , đã đi 133,000 km ...   Em cần bán xe teana 2.5 2009 đki lần đầu tháng 12/2009. Xe đag đi ngon nhà thừa xe nên bán ạ. Xe mới thay 4 lốp michelin, dầu hộp số, mới đăng kiểm đc mấy ngày ạ.
Xe đã thay ...",https://bonbanh.com/xe-nissan-teana-2.5-at-250xv-2009-6614535,235 Triệu,"Xe cũ | 2009 | Nissan Teana 2.5 AT 250XV - 2009 | 235 Triệu | Thái Bình | Mã: 6614535 | *Xe nhập khẩu, màu đen, máy xăng 2.5 L, số tự động, 5 chỗ , đã đi 133,000 km ... | Em cần bán xe teana 2.5 2009 đki lần đầu tháng 12/2009. Xe đag đi ngon nhà thừa xe nên bán ạ. Xe mới thay 4 lốp michelin, dầu hộp số, mới đăng kiểm đc mấy ngày ạ. Xe đã thay ... | Liên hệ: | Hoàng Xuân Hoàn | Tp Thái Bình Thái Bình | ĐT: 0936 590 663",bonbanh,2026-01-09
